Category,Description,Regex
Anti-Invite,Matches standard Discord invite links (discord.gg),(?i)\b(?:discord\.(?:gg|io|me|li)|discordapp\.com\/invite)\/[a-z0-9]+
Anti-Invite,Matches obfuscated Discord invites (spaces/dots),((?:discord(?:\s+|[\W_]+)(?:gg|io|me|li|net|com)|discordapp(?:\s+|[\W_]+)com(?:\s+|[\W_]+)invite))
Anti-Invite,Matches 3rd party server lists (top.gg etc),(?i)(top\.gg|discord\.servers|discordbotlist\.com)\/servers
Anti-Spam,Matches Zalgo text (Vertical stacking),"[\u0300-\u036F\u1DC0-\u1DFF\u20D0-\u20FF\uFE20-\uFE2F]{3,}"
Anti-Spam,Matches severe shouting (All Caps > 15 chars),"^[^a-z]*[A-Z]{15,}[^a-z]*$"
Anti-Spam,Matches line repetition (Wall of text spam),"^(.+)(?:\n\1){3,}$"
Anti-Spam,Matches empty messages/invisible characters only,^[\s\u200b\u200c\u200d\u200e\u200f\uFEFF\u180E]*$
Anti-Spam,Matches mass mentions (5+ users),<@!?\d+>.*<@!?\d+>.*<@!?\d+>.*<@!?\d+>.*<@!?\d+>
Security,Matches Discord User Tokens (MFA),"([a-zA-Z0-9_-]{23,28})\.([a-zA-Z0-9_-]{6,7})\.([a-zA-Z0-9_-]{27})"
Security,Matches Discord User Tokens (Standard),mfa\.[\w-]{84}
Security,Matches IPv4 Addresses (Public ranges),x\b(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\b
Security,Matches Credit Card Numbers (Major issuers),\b(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|3[47][0-9]{13}|3(?:0[0-5]|[68][0-9])[0-9]{11}|6(?:011|5[0-9]{2})[0-9]{12})\b
Security,Matches Email Addresses,"\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Z|a-z]{2,}\b"
Security,Matches IP Logger: Grabify,grabify\.(link|com)
Security,Matches IP Logger: IPLogger,iplogger\.(org|com)
Security,Matches IP Logger: Blasze,blasze\.(com|tk)
Security,Matches IP Logger: Yip,yip\.su
Security,Matches IP Logger: Ps3cfw,ps3cfw\.com
Dev-Security,Matches AWS Access Key ID,AKIA[0-9A-Z]{16}
Dev-Security,Matches Google API Key,AIza[0-9A-Za-z\\-_]{35}
Dev-Security,Matches Slack API Token,"xox[baprs]-([0-9a-zA-Z]{10,48})?"
Dev-Security,Matches Stripe Live Key,sk_live_[0-9a-zA-Z]{24}
Dev-Security,Matches GitHub Personal Access Token,ghp_[0-9a-zA-Z]{36}
Dev-Security,Matches RSA Private Key Header,-----BEGIN RSA PRIVATE KEY-----
Dev-Security,Matches OpenSSH Private Key Header,-----BEGIN OPENSSH PRIVATE KEY-----
Dev-Security,Matches PGP Private Key Header,-----BEGIN PGP PRIVATE KEY BLOCK-----
Phishing,Matches fake Steam links (Typosquatting),https?:\/\/(www\.)?(steann|stearm|stem|stearn|steamcommrnunity|steamcommumity|steamcomminuty)\.com
Phishing,Matches fake Nitro links (Typosquatting),https?:\/\/(www\.)?(dlscord|discrod|dsicord|discocd|discod|discord-app|discord-gift)\.(gift|com|net|org|xyz|info)
Phishing,"Matches ""Free Nitro"" claim patterns (Aggressive)",(?i)\b(free|gift|claim)\s*nitro
Phishing,Matches crypto drainer keywords,(?i)(airdrop|claim|mint|whitelist).+(eth|sol|btc|nft|wallet)
Phishing,"Matches ""Steam Gift"" specific patterns",(?i)steam\s*community\s*gift
Malware-Extensions,Matches .EXE (Executables),\.exe\b
Malware-Extensions,Matches .SCR (Screensavers - common malware),\.scr\b
Malware-Extensions,Matches .BAT (Batch scripts),\.bat\b
Malware-Extensions,Matches .VBS (Visual Basic Scripts),\.vbs\b
Malware-Extensions,Matches .CMD (Command Scripts),\.cmd\b
Malware-Extensions,Matches .MSI (Installers),\.msi\b
Malware-Extensions,Matches .JAR (Java Executables),\.jar\b
Malware-Extensions,Matches .APK (Android Packages),\.apk\b
Malware-Extensions,Matches .REG (Registry Keys),\.reg\b
Malware-Extensions,Matches .ISO (Disk Images - often hide malware),\.iso\b
Obnoxious,Matches excessive spoilers (||text|| abuse),"(?:\|\|.+?\|\|){4,}"
Obnoxious,"Matches ""Crasher"" video metadata",video\/mp4.+?width=[0-9]+.+?height=[0-9]+
Obnoxious,Matches @everyone bypass attempts,@\s+(everyone|here)
Obnoxious,Matches Emoji spam (10+ sequential),"(\p{So}\s*){10,}"
Obnoxious,"Matches ""Wall of text"" (Long message)",".{1500,}"
Obnoxious,"Matches ""Dead Chat"" spam",(?i)(dead|revive)\s*chat
Obnoxious,"Matches ""First"" spam (for announcement channels)",(?i)^first$
Scams,"Matches ""Pump and Dump"" / Crypto Signals",(?i)(pump\s*and\s*dump|crypto\s*signals|profit\s*guaranteed|investment\s*group)
Scams,"Matches ""Forex/Binary"" scams with contact info",(?i)(forex|binary options|bitcoin).+(whatsapp|telegram|dm me)
